Date,Open,High,Low,Close,Adj Close,Volume
2022-10-19,79.150002,79.589996,77.370003,77.639999,74.931038,7429600
2022-10-20,77.629997,78.540001,76.139999,76.599998,73.927330,7638100
2022-10-21,76.610001,79.529999,76.220001,79.220001,76.455910,8149000
2022-10-24,79.529999,81.099998,78.570000,79.430000,76.658585,8143300
2022-10-25,78.610001,80.669998,78.610001,80.510002,77.700912,8173600
2022-10-26,80.599998,82.050003,80.580002,80.910004,78.086952,7733400
2022-10-27,82.000000,82.480003,80.599998,80.690002,77.874626,6466400
2022-10-28,80.269997,82.300003,79.510002,82.220001,80.120773,7816100
2022-10-31,81.769997,83.360001,81.690002,82.169998,80.072044,9087400
2022-11-01,83.250000,83.970001,82.989998,83.720001,81.582474,8195600
2022-11-02,83.449997,86.720001,83.419998,84.370003,82.215874,10907500
2022-11-03,83.059998,84.629997,82.550003,83.620003,81.485023,6447200
2022-11-04,85.150002,85.750000,84.000000,84.849998,82.683624,6929700
2022-11-07,85.519997,86.129997,85.110001,85.570000,83.385239,4599600
2022-11-08,85.610001,86.230003,84.510002,85.279999,83.102646,4850300
2022-11-09,84.879997,85.339996,83.190002,83.449997,81.319366,5200800
2022-11-10,86.690002,88.980003,86.519997,88.800003,86.532776,10013900
2022-11-11,89.000000,91.690002,89.000000,90.779999,88.462219,9119100
2022-11-14,90.269997,91.360001,89.790001,89.809998,87.516983,4873400
2022-11-15,91.070000,91.860001,89.360001,90.500000,88.189362,7336100
2022-11-16,90.470001,90.470001,89.059998,89.820000,87.526733,4368600
2022-11-17,88.690002,89.120003,87.510002,88.949997,86.678940,4967300
2022-11-18,90.269997,90.370003,88.589996,89.199997,86.922546,5450700
2022-11-21,89.059998,89.680000,88.570000,89.080002,86.805618,4667100
2022-11-22,89.589996,90.190002,89.300003,89.669998,87.380554,3804100
2022-11-23,89.720001,90.449997,89.669998,89.930000,87.633919,4961400
2022-11-25,89.650002,91.080002,89.470001,90.910004,88.588905,2450100
2022-11-28,90.199997,91.099998,89.699997,89.889999,87.594948,6147700
2022-11-29,89.639999,91.470001,89.599998,91.080002,88.754570,5307100
2022-11-30,91.279999,93.250000,89.129997,93.070000,90.693748,10520600
2022-12-01,93.059998,93.489998,92.040001,93.000000,90.625542,7310400
2022-12-02,91.860001,92.660004,91.510002,92.099998,89.748520,5197800
2022-12-05,91.480003,91.720001,89.089996,89.809998,87.516983,8272500
2022-12-06,89.620003,89.760002,86.410004,87.510002,85.275703,10424700
2022-12-07,86.820000,88.029999,86.709999,87.279999,85.051575,7066700
2022-12-08,87.680000,88.790001,87.000000,88.690002,86.425583,6141400
2022-12-09,88.680000,89.760002,88.370003,89.470001,87.185669,6488300
2022-12-12,89.010002,91.330002,88.279999,91.120003,88.793541,7496200
2022-12-13,93.660004,95.160004,92.070000,92.709999,90.342934,10330500
2022-12-14,92.510002,92.680000,89.870003,90.500000,88.189362,7704600
2022-12-15,89.150002,89.190002,86.919998,87.790001,85.548561,8795200
2022-12-16,86.529999,86.870003,85.830002,86.860001,84.642303,17262000
2022-12-19,86.739998,87.040001,84.959999,85.550003,83.365753,5129600
2022-12-20,85.919998,86.449997,85.139999,85.160004,82.985710,5206800
2022-12-21,86.410004,87.820000,86.349998,86.870003,84.652054,5422400
2022-12-22,86.580002,86.580002,84.769997,86.370003,84.164818,5635200
2022-12-23,86.330002,86.580002,85.349998,86.110001,83.911453,3316100
2022-12-27,86.360001,86.360001,84.940002,85.059998,82.888260,7064700
2022-12-28,84.959999,85.209999,84.059998,84.459999,82.303581,3714900
2022-12-29,84.959999,85.589996,84.559998,85.239998,83.063660,3461700
2022-12-30,84.699997,85.199997,84.180000,85.019997,82.849281,4455600
2023-01-03,85.639999,86.599998,84.980003,85.720001,83.531410,5108900
2023-01-04,85.550003,87.349998,85.180000,86.650002,84.437660,7726800
2023-01-05,85.900002,86.169998,84.830002,85.919998,83.726295,5339900
2023-01-06,86.440002,87.959999,85.709999,87.559998,85.324425,5710900
2023-01-09,88.250000,88.910004,87.410004,87.639999,85.402390,5039700
2023-01-10,87.550003,88.930000,86.839996,88.919998,86.649704,4536600
2023-01-11,89.370003,89.809998,88.849998,89.430000,87.146683,6122600
2023-01-12,90.019997,91.809998,89.349998,90.529999,88.218597,7895600
2023-01-13,89.029999,91.980003,88.269997,91.660004,89.319756,8414600
2023-01-17,95.900002,99.099998,95.000000,97.080002,94.601364,27914300
2023-01-18,96.800003,97.949997,96.339996,96.580002,94.114136,14134800
2023-01-19,94.610001,94.980003,92.940002,94.150002,91.746185,13457100
2023-01-20,94.129997,96.279999,93.879997,96.239998,93.782814,10785000
2023-01-23,95.870003,97.220001,95.489998,97.129997,94.650093,8735300
2023-01-24,96.279999,96.809998,92.919998,95.510002,93.071457,4801600
2023-01-25,94.879997,95.930000,94.440002,95.639999,93.198135,5891000
2023-01-26,96.220001,96.540001,95.309998,96.500000,94.036179,6085100
2023-01-27,96.410004,97.430000,95.709999,96.860001,94.386986,7990800
2023-01-30,95.029999,96.610001,94.919998,95.959999,94.264198,5870100
2023-01-31,96.290001,97.370003,95.760002,97.330002,95.609985,7182100
2023-02-01,96.949997,99.059998,96.930000,98.190002,96.454788,9815200
2023-02-02,98.879997,100.269997,97.959999,99.209999,97.456764,11118900
2023-02-03,98.239998,100.180000,98.070000,99.430000,97.672874,6948600
2023-02-06,98.449997,99.199997,98.070000,98.900002,97.152245,4737700
2023-02-07,98.769997,99.820000,98.050003,99.220001,97.466591,5060700
2023-02-08,98.320000,99.940002,98.059998,98.959999,97.211174,4705200
2023-02-09,99.220001,99.800003,97.730003,98.050003,96.317261,4983800
2023-02-10,97.589996,98.599998,97.559998,98.440002,96.700371,5224900
2023-02-13,98.459999,99.760002,98.160004,99.430000,97.672874,4910300
2023-02-14,99.050003,100.989998,98.970001,100.559998,98.782906,7679500
2023-02-15,99.510002,100.959999,99.500000,100.830002,99.048134,6464200
2023-02-16,99.779999,100.239998,98.809998,99.570000,97.810402,6051800
2023-02-17,98.900002,100.019997,98.300003,99.510002,97.751457,8133000
2023-02-21,98.459999,99.000000,97.180000,97.620003,95.894859,6556000
2023-02-22,97.370003,98.070000,96.620003,97.269997,95.551041,5072400
2023-02-23,97.879997,98.419998,96.699997,97.940002,96.209206,5916100
2023-02-24,97.150002,97.980003,96.610001,97.699997,95.973442,5414200
2023-02-27,98.410004,98.480003,96.580002,96.699997,94.991119,5645000
2023-02-28,97.120003,97.290001,96.260002,96.500000,94.794655,6745300
2023-03-01,95.959999,96.760002,95.260002,96.190002,94.490135,5429600
2023-03-02,95.449997,96.370003,94.480003,96.080002,94.382072,4632400
